,name,longitud,latitud,regular,premium,diesel
4529,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.2976,25.66302,,21.7,21.3
4530,Gasolinera Francisco Villa Norte SA de CV,-101.6363,21.14426,20.49,,
4531,ESTACION EL ALTO S.A. DE C.V.,-99.97133,25.24905,19.99,21.81,21.49
4532,"COMBU-EXPRESS, S.A. DE C.V.",-104.2261,19.79983,20.36,21.33,21.47
4533,SERVICIO EL ANCORA S.A. DE C.V.,-103.3293,25.55688,19.79,21.49,21.39
4534,COMBUSTIBLES Y LUBRICANTES SALTILLO SA DE CV,-103.3432,20.73113,20.99,21.75,21.55
4535,Servicios Ecológicos Chichen Itza S.A. de C.V.,-89.71584,21.00885,19.43,21.07,
4536,Servigas San Francisco S.A. de C.V.,-99.7564,19.5687,19.99,21.27,21.7
4537,"Auto Servicio Santa Maria, S.A. de C.V.",-115.88,30.42242,18.7,20.4,20.7
4538,ESTACION DE SERVICIOS ZARAGOZA SA CV,-99.2613,21.24507,20.13,21.44,21.36
4539,GASOLINERA LA BARDA S.A. DE C.V.,-103.4164,25.56348,19.79,21.49,
4540,"Centro Gasolinero Animas, S.A. de C.V.",-96.98433,19.14457,19.64,20.47,21.57
4541,"GASOLINERA PIJIJIAPAN, S.A. DE C.V.",-93.20916,15.69529,19.62,21.3,21.85
4542,SERVICIO LOS ARQUITOS DE OCAMPO S.A. DE C.V.,-101.4738,21.65405,,,21.75
4543,SERVICIO EL ANCORA S.A. DE C.V.,-103.035,25.75412,19.99,21.54,21.59
4544,COMBUSTIBLES Y LUBRICANTES INDEPENDENCIA SA DE CV,-106.0217,28.63023,,20.99,
4545,"ALTAVILLA, S.A. DE C.V.",-98.99854,19.62013,20.09,21.49,21.59
4546,"GASOLINERA SERVICIO MODELO, S.A. DE C.V.",-100.2947,25.68155,19.97,21.67,
4547,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-103.2611,20.64961,,21.79,
4548,SERVICIO OVELISCO S.A. DE C.V.,-88.29523,18.52219,19.64,20.94,21.09
4549,SERVICIO CRISTOBAL COLON SA DE CV,-100.0486,20.76971,21.66,22.02,22.7
4550,"ALTAVILLA, S.A. DE C.V.",-99.1804,19.61448,20.69,21.59,
4551,TURISMO Y COMBUSTIBLES SA DE CV,-100.1148,25.38425,,21,
4552,ESTACIONES DE SERVICIO AUTO S.A. DE C.V.,-94.43869,18.12822,18.47,,20.41
4553,"SERVICIOS DE COMBUSTIBLE PANUCO, SA DE CV   E05808",-98.16978,22.06541,,20.52,
4554,Autoservicio El Fuerte SA de CV,-102.066,20.3592,20.52,22.04,21.58
4555,COMBUSTIBLES Y LUBRICANTES INDEPENDENCIA SA DE CV,-106.1113,28.66712,19.65,21.49,
4556,"SUPER SERVICIO UNIDAD, SA DE CV   E04698",-97.84939,22.237,18.8,20.39,
4557,SERVICIO RIVAS DE VALPARAISO SA DE CV,-103.5781,22.74331,,,20.9
4558,SERVICIOS MOMOXPAN SA DE CV,-98.26971,18.94954,,20.4,
4559,"SERVICIO GASOLINERO VILLAS DE IRAPUATO, SA DE CV ",-101.3924,20.68477,20.3,21.74,
4560,GASOLINERA LA VERBENA SA DE CV,-110.9911,29.06297,,21.29,
4561,"ESTACION DE SERVICIO CUAUTLA,S.A. DE CV (ES6730)",-98.91341,18.8896,,,21.89
4562,AUTO EXPRESS ACUEDUCTO NORTE S.A. DE C.V.,-100.3228,25.76538,,21.7,
4563,"GRUPO GASOLINERO TAMPICO, SA DE CV  E10172",-98.07399,22.95894,,20.32,
4564,"El Alto Estacion de Servicio, S. de R. L. de C. V.",-102.5936,21.65872,20.3,21.5,21.6
4565,GRUPO GASOLINERO BUGATTI SA DE CV,-100.7394,20.72946,20.4,21.9,21.44
4566,GABRIEL OSWALDO ESTRADA NAVARRO,-100.2564,25.7487,19.97,21.7,
4567,"ARNULFO CORDERO MORA, S.A. DE C.V.",-91.96797,15.84652,,18.42,
4568,GASOLINERA RINDEMAS SA DE CV,-107.3566,24.7723,18.99,,
4569,ESTACION SERVICIO LA CHARANDA SA DE CV,-102.0613,19.42795,19.53,21.2,21.1
4570,SERVICIO 18 DE MARZO SA DE CV   E12448,-97.84702,22.25326,18.8,20.39,
4571,NR COMBUSTIBLES S.A DE C.V,-99.24647,19.82877,19.65,20.65,21.59
4572,servicio apan s.a. de c.v.,-98.46413,19.70053,18.7,20.05,19.54
4573,SASICAYA SA DE CV,-98.17965,19.03394,17.65,19,
4574,ABASTECEDORA DE SERVICIOS DEL VALLE SA DE CV,-108.071,25.45033,20.19,22.29,22.19
4575,POWER GAS SA DE CV,-110.9129,29.11972,,21.42,
4576,"INMOBILIARIA SORGAR, S.A. DE C.V.",-99.17967,19.55534,20.49,,
4577,SERVICIO MARIA CRISTINA S.A. DE C.V.,-97.91685,17.0372,20.83,21.75,22.19
4578,REFINADOS DEL NORTE S.A. DE C.V.,-100.1867,25.77783,,21.75,
4579,"SERVICIO MUSEO, S.A. DE C.V. ",-99.15618,19.44205,20.48,21.38,21.44
4580,"SERVICIOS USUMACINTA, S.A. DE C.V.",-92.94683,17.99323,18.39,19.79,
4581,ESTACIONES DE SERVICIO AUTO S.A. DE C.V.,-94.43417,18.13682,18.53,19.69,20.45
4582,"SERVICIO YU GAR, SA DE CV  E04415",-97.85004,22.27183,,20.3,
4583,SERVICIO RUTA DEL SUR SA DE CV,-98.44111,18.85767,,21.58,
4584,"DIGEPE, S.A. DE C.V. (07356)",-100.4349,20.52542,,,21.99
4585,GASOLINERA LIBRASUR S.A. DE C.V.,-93.12823,16.74399,19.1,,
4586,ENERGIA Y SERVICIOS COORDINADOS S.A. DE C.V.,-103.523,25.54335,19.79,,
4587,"GOLDEN GAS, S.A. DE C.V. ",-107.3698,24.33209,20.11,22.57,22.64
4588,ABASTECEDORA DE SERVICIOS DEL VALLE SA DE CV,-108.4734,25.56945,20.18,,
4589,"GRUPO ENERGETICO GUDE, S.A. DE C.V.",-102.8551,23.16839,19.93,21.59,21.61
4590,"LENIGAS, SA DE CV",-99.16231,19.39673,20.1,20.9,21.5
4591,SERVICIOS BERNALDEZ S.A. DE C.V.,-102.9075,20.46753,20.5,21.79,21.34
4592,GASOLINERIA TLAYACAPAN S.A. DE C.V.,-99.02639,18.92824,19.96,20.92,21.69
4593,CAMINO REAL DE SAN ANDRES SA DE CV,-98.26294,19.03418,19.5,20.08,21.7
4594,"GRUPO EMPRESARIAL Y COMERCIAL MONTERREY, SA DE CV",-92.93926,17.97507,,19.67,
4595,ENERGETICOS AHUACATLAN SA DE CV,-97.85474,20.00819,19.79,,21.99
4596,PETROAGUILA SA DE CV,-107.401,24.79616,19.56,,
4597,AUTOSERVICIO LA CANDELARIA SA DE CV ,-111.0231,29.13135,,21.42,
4598,SERVICIOS LA CATRINA DE PATZCUARO S A DE C V ,-101.6122,19.51219,20.8,21.5,21.99
4599,"GRUPO FERCHE, S.A. DE C.V.",-96.19986,19.21361,18.64,19.62,20.19
4600,GRUPO GASOLINERO JALPAN SA DE CV,-99.31902,21.18433,20.13,,
4601,"COMERCIALIZADORA 2GT, S.A. DE C.V.",-100.1964,25.66038,,21.57,
4602,GUAMCO SA DE CV,-106.0865,28.62768,19.65,21.49,
4603,Grupo Uranus SA de CV,-100.8602,20.53851,20.15,21.55,21.7
4604,SERVICIOS LA CRUZ S.A. DE C.V.,-106.9092,23.92634,20.12,21.45,20.74
4605,GASOLINERA EL CERRO CHATO SA DE CV,-103.267,20.67857,20.43,21.22,21.98
4606,MARGARITA GUTIERREZ MIRAMONTES,-116.9469,32.47497,18.85,19.99,
4607,GRUPO ALTAMIRANO MONROY S. A. DE C. V.  E06311,-104.8939,21.51626,20.83,22.56,
4608,Comercializadora de Combustible Pompa SA de CV,-101.6557,21.12983,20.49,,
4609,El Sauz Auto Servicio SA de CV,-99.05127,26.39588,15.2,,21.1
4610,ESTACION DE SERVICIO SAN PABLO SA DE CV ,-98.20094,19.08495,19.65,20.89,21.55
4611,ESTACIONES DE SERVICIO AUTO S.A. DE C.V.,-94.42782,18.14407,18.51,19.69,
4612,"SERVI EXXPRESS BOULEVARD, S.A. DE C.V.",-100.0004,21.92486,,,20.48
4613,ESTACIONES DE SERVICIO AUTO S.A. DE C.V.,-94.65249,17.96719,18.91,20.45,20.31
4614,SERVICIO SAN PEDRO SA DE CV.,-99.19009,19.38925,20.49,21.75,21.69
4622,SERVICIO TORRES DIEZ SA DE CV,-105.2135,20.64719,20.59,21.91,21.77
4623,EVERARDO CORONADO OROZCO,-103.1582,20.57092,20.73,21.57,21.93
4624,MA. CRUZ MEDEL GARCIA,-98.36975,19.23819,19.33,20.78,20.78
4625,"RAMSA DEL YAQUI, S.A. DE C.V.",-109.9283,27.49238,,,21.75
4626,SERVICIO JAMAPA S.A. DE C.V. ,-96.2336,19.03982,18.55,18.52,19.95
4627,SERVICIO PLATON SANCHEZ S.A. DE C.V.,-98.3505,21.26875,19.5,20.6,20.3
4628,Servicio Cupula SA de CV,-98.95501,19.83683,19.79,,
4629,CHALOGAS INMOBILIARIA S.A. DE C.V.,-116.99,32.47987,17.99,,
4630,Superservicio Valle de Chalco S.A. DE C.V.,-98.92004,19.29053,20.26,21.17,21.35
4631,"OPERADORA TABASQUEÑA EDMAGRA, S.A. DE C.V.",-92.98041,17.98955,18.67,,
4632,ESTACION DE SERVICIO LA MANGA SA DE CV,-102.8001,20.9066,20.2,21,
4633,GASOLINERA Y LUBRICANTES FRONTERIZOS SA DE CV,-92.16029,14.71185,19.71,20.99,21.78
4634,ESTACIONES DE SERVICIO S.A. DE C.V.,-101.3458,20.67908,,,21.61
4635,NOVOGAS TOLLOCAN SA DE CV,-96.13433,19.19525,,19.19,
4636,GASOLINERA MAZA DE JUAREZ SA DE CV,-110.9884,29.11065,19.96,21.47,
4637,NIDIA DEL ROSARIO DE FATIMA LUGO RICALDE,-89.28378,20.20035,20.18,21.67,21.38
4638,GASOLINERA FRONTERA SA DE CV,-92.17903,14.77234,19.42,20.82,21.27
4639,MARIA GUADALUPE CARBAJAL RIVERA,-102.9052,20.72184,20.95,21.7,22
4640,GASOLINERA SAN GERMÁN S.A. DE C.V.,-98.13974,24.86372,19.39,,21.93
4641,CACE SERVICIOS COMERCIALES SA DE CV,-108.4168,25.36944,20.28,22.12,22.31
4642,MIGUEL DAINITIN TALAMAS,-100.9846,25.43594,19.58,20.95,21.1
4643,SERVICIO DE LA CUENCA SA DE CV,-95.78359,18.78571,18.89,,
4644,Gasolinera Renovacion S. A. de C. V.,-99.63784,19.26767,20.38,21.89,
4645,"DISTRIBUIDORA DE COMBUSTIBLES KARZO, S. DE R.L. DE C.V.",-98.34052,26.13408,,,20.49
4646,"PETROMERIDA, SA DE CV (ES11112)",-89.60808,21.00212,19.46,21.09,
4647,CENTRAL DE ENERGETICOS SA DE CV,-101.4269,26.86966,19.9,20.9,21.25
4648,ESTACION DE SERVICIOS LA LIMA SA DE CV ,-95.16277,17.92446,18.79,,20.41
4649,ORVI COMBUSTIBLES S.A DE C.V,-99.88687,18.86546,20.39,21.69,21.45
4650,"GASOLINERA ALVER, S.A. DE C.V.",-110.9346,29.04832,19.99,,
4651,ENERGIA SAN ERNESTO SA DE CV,-105.2298,20.6646,20.39,21.69,
4652,"SUPER'S RAPÍDITOS BIP BIP, S.A. DE C.V.",-106.3466,31.6428,13.9,16,18.45
4653,ROBERTO CARDENAS GONZALES,-103.3774,20.6387,20.55,21.7,
4654,SERVICIOS DE ALBA O SA DE CV,-102.3122,21.87349,20.03,21.43,
4655,GASOLINERA ZAPOTILTIC  S.A. DE C.V.,-103.4287,19.63412,20.75,21.75,21.75
4656,HUGO TISCAREÑO ALONSO,-102.2451,22.57871,20.22,,21.99
4657,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V,-99.10847,18.98232,,,21.59
4658,SERVICIO PONIENTE SA DE CV  E.S. 11003,-100.4464,20.61679,20.12,21.45,21.2
4659,"CENTRO CARRETERO SAN JORGE, S.A. DE C.V.",-101.1589,19.78859,,,22.16
4660,ORVI COMBUSTIBLES S.A DE C.V,-100.3439,19.42855,20.44,21.95,21.75
4661,ARMANDO VILLA ENCINAS,-110.944,29.00823,20.15,21.7,
4662,"SERVICIO MATATLAN, S.A. DE C.V.",-103.2152,20.66618,20.79,21.67,21.41
4663,GASERVICIO MORELOS SA DE CV,-110.9527,29.14494,19.94,,
4664,CARLOS ARTURO MUÑOZ PEREZ,-108.1317,29.18364,19.95,,
4665,Gasolinera Complejo S.A. de C.V.,-103.6894,19.25438,19.95,21.09,21.95
4666,"ESTACIONES ECOLOGICAS DE SERVICIOS, S.A. DE C.V.",-99.07385,19.53218,20.28,21.26,21.52
4667,AUTOSERVICIO MANZANILLO PUERTO SA DE CV,-104.3011,19.09229,,,21.8
4668,JOSAFAT RAFAEL MORALES PEREZ,-98.76064,20.58844,19.74,,21.24
4669,"OPERADORA RIO COLORADO, S. DE R.L. DE C.V.",-114.8008,32.46228,,16.65,
4670,PETRORAC S.A. DE C.V.,-97.16895,18.8125,19.29,20.45,21.23
4671,"SERVICIO MANTEROLA, SA DE CV",-97.0498,20.06476,19.89,21.15,21.25
4672,CENTRO DE SERVICIOS ELVA SA DE CV,-112.1544,30.71176,18.7,,
4673,JOSE MANUEL ZABALEGUI RODRIGUEZ,-101.2277,19.65894,20.53,21.34,22.3
4674,SERVICIO EL GALLO SA DE CV,-110.9576,29.03802,20.18,,22.53
4675,ESTACION DE SERVICIO VALLE NUEVO SA DE CV,-103.8775,18.90648,19.92,21.45,20.99
4676,ESTACION DE SERVICIO ARIES S.A DE C.V ,-96.08617,18.98589,18.69,19.77,20.7
4677,ALMA DELIA MILLAN LOPEZ,-111.0235,29.1071,,21.7,
4678,"SUPER'S RAPÍDITOS BIP BIP, S.A. DE C.V.",-106.453,31.71107,13.9,16,
4679,ENERGETICOS PLUS SA DE CV,-103.3187,20.65666,20.99,,
4680,"GRUPO RESIDENCIAL LINARES, S. A. DE C. V.",-99.58575,24.881,19.65,21.31,21.24
4681,Super Gas San Luis Rioverde S.A. DE C.V.,-100.8944,22.15225,19.45,20.65,
4682,"SERVICIO TESISTAN, S.A. DE C.V.",-103.4868,20.79965,20.75,21.49,21.99
4683,servicio nadadores s.a. de c.v.,-94.32255,18.07465,18.69,19.99,20.7
4684,SERVICIO ARENA DE SAN ANDRES SA DE CV,-99.0825,19.55919,,21.44,
4685,Servicio Garal S de RL de CV,-112.1682,30.7162,18.52,20.33,20.59
4686,ADMINISTRADORA DEL COLORADO S. DE R.L. DE C.V.,-115.3931,32.63831,,,20.25
4687,SERVICIO SAYULA S.A. DE C.V.,-94.95727,17.88672,18.76,19.8,20.54
4688,SERVICIO SANJOGAS SA DE CV,-100.4062,20.98545,,20.9,
4689,"DISTRIBUIDORA DE COMBUSTIBLES KARZO, S. DE R.L. DE C.V.",-97.54191,25.86276,14.99,,
4690,RED NACIONAL DE COMBUSTIBLES Y SERVICIOS SA DE CV ,-103.3742,20.68168,,21.86,
4691,EXACTO COMBUSTIBLES SA DE CV,-107.4213,24.74104,19.54,22.25,21.24
4692,SINERGIA DE ENERGETICOS S.A. DE C.V. ,-98.21905,18.97413,19.29,20.44,
4693,SUPER SERVICIO DLT SA DE CV,-99.25897,19.57586,20.27,21.25,21.59
4694,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-99.93176,25.22092,,21.75,21.34
4695,ENERGETICOS SANTA ISABEL S.A. DE C.V.,-98.30038,19.23837,19.33,20.78,20.63
4696,"OPERADORA TABASQUEÑA EDMAGRA, S.A. DE C.V.",-93.01228,17.98223,,20.01,
4697,GRUPO CARAROD S. DE R.L.,-100.0532,19.04648,20.62,21.89,22.09
4698,"SERVICIO SAN PEDRO, S.A. DE C.V.",-101.3683,20.6764,19.94,21.52,
4699,"SERVICIO LA BARDA BLANCA, SA DE CV",-97.01197,20.11868,19.88,21.15,21.23
4700,ELIAS ALFARO BARRERA,-100.8002,19.89034,20.25,21.7,22.15
4701,GASOLINERA LAGUNA DE ALCHICHICA S.A. DE C.V.,-97.39622,19.40764,,20.1,
4702,gasolinas y lubricantes de la sierra s.a de c.v.,-92.71597,15.87954,20.32,21.34,21.48
4703,SERVICIO GASOLINERO DE LA COSTA S.A. DE C.V.,-105.2724,21.77196,20.9,21.5,22
4704,SUPER SERVICIO CUATRO CAMINOS SA DE CV,-106.4529,31.60767,13.96,15.89,18.54
4705,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",-99.23764,19.49989,,21.99,
4706,TRINIDAD ADAME ADAME,-99.52999,17.65141,20.39,21.58,21.5
4707,PARADOR HACIENDA NUEVA SA DE CV,-102.6247,22.82659,,20.69,20.99
4708,gasolinera cuxtepeques s.a. de c.v.,-92.83539,16.08684,20.3,21.32,21.46
4709,ALMARAIL S.A. DE C.V.,-102.537,19.10746,16.43,18.13,17.35
4710,Servicio Lopez Portillo S.A. de C.V.,-99.62499,19.32208,20.09,21.29,22.09
4711,FRANCISCO PADILLA ORTIZ,-99.15264,19.39042,20.65,21.35,
4712,AUTOSERVICIOS UNIDOS JOCOTEPEC SA DE CV,-103.4189,20.28456,21.12,21.88,22.27
4713,"SUPER'S RAPÍDITOS BIP BIP, S.A. DE C.V.",-106.4816,31.73673,13.9,16,
4714,"COMVALE DE MEXICO, S.A. DE C.V.",-101.018,22.12657,,20.91,
4715,ADMINISTRADORA DEL COLORADO S. DE R.L. DE C.V.,-116.6016,31.83751,,19.89,
4716,EST. DE SERVICIO LOS PINITOS DE GUERRERO SA DE CV,-99.42223,18.48256,,,21.05
4717,RITA MARIA EUGENIA ROBLES RAMIREZ,-92.10091,16.89422,20.75,21.9,22.4
4718,GASOLINERA JV S.A. DE C.V.,-105.6452,26.92208,19.47,20.98,20.83
4719,ALMA DELIA BELMONTE MUÑOZ,-102.1239,21.20643,19.99,21.5,21.34
4720,"LUIS ALVAREZ E HIJOS, S.A. DE C.V.",-117.0008,32.44711,18.95,20.29,20.15
4721,EFRAIN MARTINEZ COSSIO,-97.03356,20.08023,19.89,21.15,21.25
4722,COMBUSTIBLES Y LUBRICANTES REFORMA S.A DE C.V.,-110.8182,27.95822,20.31,,
4723,GRUPO GASOLINERO ROJAS SA DE CV,-100.4198,20.87431,,,21.51
4724,AGUSTIN CASTILLO RODRIGUEZ,-97.50318,18.51911,19.6,20.6,21
4725,"Hidrocarburos San Nicolas, S.A. de C.V.",-98.3911,20.0973,18.99,20.45,20.48
4726,MARISSA DEL CARMEN HERAS LOPEZ,-107.4132,24.83376,19.11,,
4727,"Gasolineras Rahel, S.A. de C.V.",-98.4315,19.26931,19.99,,21.79
4728,"COMERCIALIZADORA CMBA, S.A.P.I. DE C.V.",-100.4545,25.67477,19.99,21.75,21.46
4729,GASOLINERA JV S.A. DE C.V.,-105.7128,26.94023,19.47,20.98,20.83
4730,"COMBUSTIBLES REAL, S.A. DE C.V.",-96.9162,18.87498,19.05,20.19,20.95
4731,"AUTOSERVICIO AMATLAN, S DE RL DE CV",-96.91208,18.853,19.59,20.99,21.39
4732,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.2981,25.67644,,21.7,
4733,"SUPER'S RAPÍDITOS BIP BIP, S.A. DE C.V.",-106.4101,31.64991,13.9,16,
4734,COPAA ADMINISTRACION SA DE CV,-99.53296,27.45335,14.95,16.95,
4735,Garage Imuris SA de CV,-110.8541,30.78194,,21.65,
4736,SERVICIO TLAXCALA SA DE CV,-106.3275,31.62411,13.48,,
4737,"AAS LA PALMA, SA DE CV",-107.6513,24.81306,,22.1,
4738,SERVICIO LAS CONCHITAS S.A. DE C.V.,-103.3219,20.59241,20.71,21.74,22.01
4739,"SAN ANTONIO TEKAX, SA DE CV (ES11113)",-89.30053,20.21238,20.18,,21.48
4740,EZEQUIEL RIVERA VALENCIA,-112.167,30.70609,,,20.4
4741,"AUTOSERVICIO BIENESTAR, S.A. DE C.V.",-116.8437,32.50762,,,20.09
4742,GASOLINERA JV S.A. DE C.V.,-105.6223,26.93425,19.47,20.98,20.83
4743,GASOLINERIA DAFER SA DE CV,-100.2741,25.64892,20.09,,
4744,Servicio La Joya de Acajete Veracruz SA de CV,-97.03168,19.61161,19.39,20.27,21.09
4745,DESERTGAS SA DE CV,-105.4612,28.19137,19.94,20.89,
4746,Servicio Morales Morales S. A. de C. V.,-92.11902,16.25546,20.43,,22.16
4747,Servicio Cupula SA de CV,-99.59137,18.95663,20.79,22.04,22.09
4748,"SUPER'S RAPÍDITOS BIP BIP, S.A. DE C.V.",-106.5146,31.74272,13.9,16,
4749,SINERGIA DE ENERGETICOS S.A. DE C.V. ,-98.21783,19.03945,19.24,20.34,
4750,"IRVILU, S.A DE C.V",-109.9281,27.55085,19.77,21.37,21.28
4751,GASOLINERA ENTRONQUE LAS PALMAS S.A. DE C.V.  ,-102.2074,17.97219,18.95,20.45,20.5
4752,COMBUSTIBLES TUPATARO SA DE CV,-101.6468,20.60618,20.59,22.1,21.99
4753,HIDROCARBUROS LAS QUINTAS SA DE CV,-100.2126,25.6902,19.99,21.4,
4754,"MULTISERVICIOS SOMARVE, S.A. DE C.V.",-96.932,19.55894,19.45,20.44,
4755,COMBUSTIBLES Y LUBRICANTES LOS CACHORROS SA DE CV,-107.4829,28.54732,19.33,20.76,20.15
4756,FECAM SA DE CV,-92.27001,14.90094,,20.62,
4757,MACLOVIO EFREN HERNANDEZ HERNANDEZ,-98.27758,18.99586,19.19,,20.08
4758,SERVICIO JUSTO GARCIA FLORES S DE R L DE C V,-99.67649,19.2886,20.27,21.86,
4759,"SUPER'S RAPÍDITOS BIP BIP, S.A. DE C.V.",-106.4172,31.68786,13.9,16,
4760,COMBUSTIBLES EBANO S.A. DE C.V,-103.594,20.41183,20.4,21.45,21.01
4761,ESTACIÓN DE SERVICIO SAN RODRIGO SA DE CV,-97.67054,17.28141,20.63,21.48,22.59
4762,SERVICIO BACOBAMPO SA DE CV,-109.6475,26.81828,20.55,22.5,
4763,Operadora cinco hermanos S.A. de C.V.,-93.38821,15.79006,19.65,21.5,21.85
4764,"GASOLINERA EL PAISA, S.A. DE C.V.",-102.3278,21.25101,19.78,21.37,
4765,"GASOLINERA TAMAZULA, S.A. DE C.V.",-106.9672,24.96349,,21.8,
4766,GASOLINERA PERIFERICO SA DE CV,-92.26208,14.89888,19.26,20.65,20.87
4767,"SERVICIOS SAN NICOLAS, SA DE CV (ES10507)",-89.66063,21.02257,,20.8,
4768,UNION CASMO S DE RL DE CV,-104.2646,19.96086,19.94,20.94,21.43
4769,"CADENA COMERCIAL VERACRUZANA, S.A. DE C.V.",-96.19777,18.91661,19.38,,
4770,ESTACION Y SERVICIOS DEL CORREDOR URBANO SA DE CV,-97.81304,22.28897,18.72,20.3,20.74
4771,JOSE LUIS MARTINEZ ESTRADA,-105.6852,26.94006,,21.33,
4772,"AUTOSERVICIO BENITEZ, SA DE CV",-116.9308,32.48259,19.09,20.35,20.15
4773,AUTO SERVICIO BACHOCO SA DE CV,-110.9516,29.11785,19.89,21.39,
4774,REYDA SERVICIOS S.A. DE C.V.,-99.63737,19.27704,20.09,21.49,
4775,ESTACIONES DE SERVICIO S.A. DE C.V.,-100.4147,20.56865,20.32,21.38,
4776,COMBUSTIBLES MODI SA DE CV,-103.7328,20.83454,20.75,20.99,21.95
4777,SUPER SERVICIO MARAVILLA SA DE CV,-102.3021,19.96368,20.9,21.9,21.9
4778,"SUPER SERVICIO GARBRI, S.A. DE C.V.",-102.0194,20.35202,20.47,21.77,21.53
4779,FLECHA GRANA SA DE CV,-103.3726,20.58118,20.64,21.7,21.26
4780,OPERADORA SAGUARO BAJA S.A DE C.V,-115.4314,32.63935,17.98,19.29,
4781,MARIA CELIDA URIAS BELTRAN,-108.3742,25.49366,20.65,,
4782,Super Gas Milpillas S.A DE C.V.,-100.9467,22.21447,19.2,20.46,20.57
4783,EFRAIN MARTINEZ COSSIO,-97.45456,20.54098,19.29,20.39,
4784,"ESTACIONES ECOLOGICAS DE SERVICIOS, S.A. DE C.V.",-99.0502,19.39237,20.55,21.5,21.54
4785,GASOS MANZANILLO S.A. DE C.V.,-104.3108,19.05317,19.3,20.6,
4786,"Hidrocarburos Campeche, S.A de C.V. ",-90.72179,18.60496,20.17,21.47,21.35
4787,FRANCISCO IGNACIO BECERRIL ZAVALA,-97.38452,18.46282,19.5,20.6,20.5
4788,"COMBUSTIBLES Y LUBRICANTES GASA,S.A. DE C.V.",-111.6725,25.03931,20.2,21.65,
4789,"GASOLINERA TLAZAZALCA, S.A. DE C.V.",-102.0512,19.95641,,21.9,
4790,REFINADOS HUINALA SA DE CV,-100.1456,25.72884,,21.6,
4791,JOSE SANCHEZ ROMERO,-98.44346,19.28831,,,21.84
4792,"GASOLINERIA MALTRATA, S. A. DE C. V. ",-97.26088,18.81267,19.3,,20.9
4793,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",-100.9978,25.44869,19.99,,
4794,GASOLINERA Y SERVICIOS MAZATLAN S.A. DE C.V.,-106.3899,23.23272,20.39,21.84,21.44
4795,"AUTOSERVICIO YUCATAN, S.A. DE C.V. (ES05480)",-89.69794,20.9429,,,20.84
4796,GASOLINERA RIO YAQUI SA DE CV,-109.9394,27.60499,19.91,21.51,21.42
4797,"AUTOSERVICIO YUCATAN, S.A. DE C.V. (ES05480)",-89.2811,21.11376,,21.32,
4798,"GRUPO EMPRENDEDOR GASOLINERO, SA DE CV",-98.19273,19.02916,19.3,20.1,19.9
4799,"ESTACION PIRU, S.A. DE C.V.",-116.9934,32.51192,18.99,,
4800,CUATRO PEÑASCOS SA DE CV,-104.027,25.26413,20.56,,22.3
4801,ORVI COMBUSTIBLES S.A DE C.V,-99.5783,19.1057,20.09,21.38,21.49
4802,"ULTRA SERVICIO DOS MIL, S.A. DE C.V.",-97.88351,18.82827,19.97,20.5,21.75
4803,ESTACION DE SERVICIOS PIONEROS SA DE CV,-105.4717,28.172,,,20.9
4804,SERVICIO ULTRA SA DE CV,-92.97305,17.9769,18.55,,20.29
4805,GASOLINERA SAN BERNABE SA DE CV,-97.69082,17.24658,20.63,21.48,22.59
4806,ESTACIONES DE SERVICIO S.A. DE C.V.,-101.1801,20.59887,,,21.71
4807,"SUPER'S RAPÍDITOS BIP BIP, S.A. DE C.V.",-106.3658,31.62092,13.9,16,
4808,GASOLINERA AG S.A. DE C.V. ,-105.2896,20.73859,21.2,22.44,22.07
4809,SERVICIO RIOJAS SA DE CV,-100.9908,27.42886,20.5,,21.7
4810,MANUEL ALEJANDRO VELDERRAIN CASTRO,-110.2376,27.40894,20,21.5,21.75
4811,GASOLINERA DE SAN MARTIN S.A. DE C.V.,-98.30737,19.13269,19.7,,
4812,"OPERADORA DE ESTACION DE SERVICIO TABASCO, SADECV",-92.91614,17.9989,18.57,19.95,20.11
4813,Gasolinas y Lubricantes SA de CV,-97.48296,25.84845,,,20.2
4814,SERVICIO PERISUR DEL REAL S.A. DE C.V,-106.0211,28.63172,19.34,20.48,20.78
4815,Super Servicio Salcido SA de CV,-112.8462,31.86393,15.97,18.29,19.98
4816,SERVICIO BUENOS AIRES S.A. DE C.V.,-98.071,25.06602,19.64,,21
4817,"GASOLINERA SERVICIO COMALCALCO, S.A. DE C.V.",-93.21397,18.24933,18.55,,20.5
4818,MARIA DEL CARMEN NORIEGA DOMINGUEZ,-92.45483,16.28447,20.77,21.86,22.53
4819,Malsan SA de CV,-99.83607,19.39249,20.29,21.49,21.89
4820,INMOBILIARIA PAZJOTA SC DE RL DE CV,-110.3355,24.11844,20.05,21.45,
4821,SERVICIO DELORRE S.A DE C.V,-99.11591,19.45132,20.51,,
4822,Servicio Cupula SA de CV,-99.86556,19.80189,19.99,,
